Module,Family,Method,Path,Mutation,Deprecated,Params,Body,Returns,Description,Role,UI,Priority,Wired(FE floor),Live@8000(tested)
"Account Overview","org-accounts","GET","/org-accounts/account-health-score","","","","","object","Account health composite score","ACCOUNTADMIN","Org Accounts › Account Health Score","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/accounts","","","status, edition, cloud, region, search","","object","List all accounts","ACCOUNTADMIN","Org Accounts › Accounts","","wired","served (gated)"
"Account Overview","org-accounts","POST","/org-accounts/accounts","yes","","","CreateAccountRequest","object","Create an organization account (orgadmin only)","ACCOUNTADMIN","Org Accounts › Accounts","P1","MISSING","mutation (not probed)"
"Account Overview","org-accounts","DELETE","/org-accounts/accounts/{account_name}","yes","","account_name*","DropAccountRequest","object","Drop a Snowflake account (orgadmin only  hard with grace period)","ACCOUNTADMIN","Org Accounts › Accounts","P1","MISSING","mutation (not probed)"
"Account Overview","org-accounts","GET","/org-accounts/accounts/{account_name}","","","account_name*","","object","Account detail (composite)","ACCOUNTADMIN","Org Accounts › Accounts","","wired","served (gated)"
"Account Overview","org-accounts","PATCH","/org-accounts/accounts/{account_name}","yes","","account_name*","UpdateAccountRequest","object","Update editable account fields (orgadmin only)","ACCOUNTADMIN","Org Accounts › Accounts","P1","MISSING","mutation (not probed)"
"Account Overview","org-accounts","POST","/org-accounts/accounts/{account_name}/activate","yes","","account_name*","","object","Reactivate a managed account (orgadmin only)","ACCOUNTADMIN","Org Accounts › Accounts Activate","P1","MISSING","mutation (not probed)"
"Account Overview","org-accounts","PATCH","/org-accounts/accounts/{account_name}/mfa","yes","","account_name*","MfaEnforcementRequest","object","Enforce / relax MFA on an account (orgadmin only)","ACCOUNTADMIN","Org Accounts › Accounts MFA","P1","MISSING","mutation (not probed)"
"Account Overview","org-accounts","POST","/org-accounts/accounts/{account_name}/reset-password","yes","","account_name*, admin_name","","object","Reset the admin password for an account (orgadmin only)","ACCOUNTADMIN","Org Accounts › Accounts Reset Password","P1","MISSING","mutation (not probed)"
"Account Overview","org-accounts","POST","/org-accounts/accounts/{account_name}/rotate-keys","yes","","account_name*, admin_name","","object","Rotate RSA key-pair for an account admin (orgadmin only)","ACCOUNTADMIN","Org Accounts › Accounts Rotate Keys","P1","MISSING","mutation (not probed)"
