Block Type,Category,Frontend Keys,Template Keys,Normalization,Template SQL,Legacy Aliases,Notes
source,Source,"database, schema, table, columns","columns_str, database_name, schema_name, table_name","database→database_name, schema→schema_name, table→table_name, columns[]→columns_str","SELECT {columns_str} FROM {database_name}.{schema_name}.{table_name}",src,Read from Snowflake table
org_usage_source,Source,"view_name, columns","columns_str, view_name",columns[]→columns_str,"SELECT {columns_str} FROM SNOWFLAKE.ORGANIZATION_USAGE.{view_name}",,Snowflake org usage metadata
audit_source,Source,"view_name, columns","columns_str, view_name",columns[]→columns_str,"SELECT {columns_str} FROM SNOWFLAKE.ACCOUNT_USAGE.{view_name}",,Snowflake account usage metadata
s3_source,Source,"stage_name, file_path, file_format, columns","columns_str, stage_name, file_path, file_format",columns[]→columns_str,"SELECT {columns_str} FROM @{stage_name}/{file_path} (FILE_FORMAT => '{file_format}')",,Amazon S3 external stage
azure_source,Source,"stage_name, file_path, file_format, columns","columns_str, stage_name, file_path, file_format",columns[]→columns_str,"SELECT {columns_str} FROM @{stage_name}/{file_path} (FILE_FORMAT => '{file_format}')",,Azure Blob Storage
gcs_source,Source,"stage_name, file_path, file_format, columns","columns_str, stage_name, file_path, file_format",columns[]→columns_str,"SELECT {columns_str} FROM @{stage_name}/{file_path} (FILE_FORMAT => '{file_format}')",,Google Cloud Storage
postgres_source,Source,"target_database, target_schema, source_table","target_database, target_schema, source_table",None,"SELECT * FROM {target_database}.{target_schema}.{source_table}",,PostgreSQL connector
mysql_source,Source,"target_database, target_schema, source_table","target_database, target_schema, source_table",None,"SELECT * FROM {target_database}.{target_schema}.{source_table}",,MySQL connector
external_table_source,Source,"database_name, schema_name, table_name","database_name, schema_name, table_name",None,"SELECT * FROM {database_name}.{schema_name}.{table_name}",,External table
dynamic_table_source,Source,"database_name, schema_name, table_name","database_name, schema_name, table_name",None,"SELECT * FROM {database_name}.{schema_name}.{table_name}",,Dynamic table
shared_data_source,Source,"share_database, schema_name, table_name","share_database, schema_name, table_name",None,"SELECT * FROM {share_database}.{schema_name}.{table_name}",,Data sharing
salesforce_source,Source,"target_database, object_name","target_database, object_name",None,"SELECT * FROM {target_database}.SALESFORCE.{object_name}",,Salesforce connector
sap_source,Source,"target_database, table_name","target_database, table_name",None,"SELECT * FROM {target_database}.SAP.{table_name}",,SAP connector
oracle_source,Source,"target_database, table_name","target_database, table_name",None,"SELECT * FROM {target_database}.ORACLE.{table_name}",,Oracle connector
hubspot_source,Source,"target_database, object_name","target_database, object_name",None,"SELECT * FROM {target_database}.HUBSPOT.{object_name}",,HubSpot connector
servicenow_source,Source,"target_database, table_name","target_database, table_name",None,"SELECT * FROM {target_database}.SERVICENOW.{table_name}",,ServiceNow connector
api_source,Source,"target_database, schema_name, table_name","target_database, schema_name, table_name",None,"SELECT * FROM {target_database}.{schema_name}.{table_name}",,API connector
stream_consume,Source,"database, schema, stream_name, columns","columns_str, database_name, schema_name, stream_name","database→database_name, schema→schema_name, columns[]→columns_str","SELECT {columns_str} FROM {database_name}.{schema_name}.{stream_name}",,CDC stream consume
filter,Transform,"conditions[], logic","filter_condition, input","conditions[] + logic → filter_condition string in nodesToStepInputs","SELECT * FROM {input} WHERE {filter_condition}",filter_rows,Row filtering (WHERE)
join,Transform,"join_type, left_key, right_key, exclude_right_columns","left_input, right_input, join_type, left_key, right_key",CTE builder handles join inline with USING/EXCLUDE logic,"SELECT ... FROM {left_input} a {join_type} JOIN {right_input} b ON a.{left_key} = b.{right_key}",join_tables,Dual-input join
aggregate,Transform,"aggregations[], group_by[]","agg_expressions, input","aggregations[] → window function expressions with OVER(PARTITION BY group_by)","SELECT *, {agg_expressions} FROM {input}",aggregate_kpi,Window-function aggregate (preserves all columns)
select,Transform,columns[],"columns, input","columns[] → comma-separated string in nodesToStepInputs","SELECT {columns} FROM {input}",,Column selection
rename,Transform,mappings{},"rename_expressions, input","mappings{} → * EXCLUDE(old1,old2), old1 AS new1, old2 AS new2","SELECT {rename_expressions} FROM {input}",rename_col,Multiple column rename
cast,Transform,casts{},"cast_expressions, input","casts{} → * EXCLUDE(col1,col2), CAST(col1 AS type1), CAST(col2 AS type2)","SELECT {cast_expressions} FROM {input}",,Multiple column type cast
formula,Transform,formulas[],"formula_expressions, input","formulas[] → expr1 AS name1, expr2 AS name2","SELECT *, {formula_expressions} FROM {input}",,Multiple calculated columns
sort,Transform,order_by[],"order_by, input","order_by[] → comma-separated col ASC/DESC string","SELECT * FROM {input} ORDER BY {order_by}",,Row ordering
union,Transform,union_all,input,CTE builder handles UNION ALL inline from multiple inputs,"SELECT * FROM {input}",,Multi-input union
distinct,Transform,(none),input,None,"SELECT DISTINCT * FROM {input}",deduplicate,Remove duplicate rows
limit,Transform,"limit, offset","row_count, input",limit → row_count,"SELECT * FROM {input} LIMIT {row_count}",,Row limit
set_col_value,Transform,"value, column","value, column, input",None,"SELECT *, '{value}' AS {column} FROM {input}",,Set column to fixed value
normalize_col,Transform,column,"column, input",None,"SELECT * EXCLUDE ({column}), UPPER(TRIM({column})) AS {column} FROM {input}",,Normalize text column
recommendation,Transform Advanced,"model_type, score_expression, cortex_model, input_column, prompt, score_column","score_expression, recommendation_column, input","Cortex mode: builds SNOWFLAKE.CORTEX.COMPLETE() from model+prompt+column. score_column→recommendation_column","SELECT *, {score_expression} AS {recommendation_column} FROM {input}",,AI scoring with Cortex LLM or custom SQL
segmentation,Transform Advanced,"rules[], segment_column, method","case_expression, segment_column, input","rules[] → WHEN condition THEN 'name' chain","SELECT *, CASE {case_expression} END AS {segment_column} FROM {input}",,Rules-based segmentation
clustering,Transform Advanced,"cluster_column, method, n_clusters, feature_columns","cluster_expression, cluster_column, input","feature_columns + n_clusters → MOD(HASH(cols), n)","SELECT *, {cluster_expression} AS {cluster_column} FROM {input}",,Hash-based clustering
window_rank,Transform Advanced,"window_function, partition_by, order_by, output_column","window_function, partition_by, order_by, output_column, input",None,"SELECT *, {window_function}() OVER (PARTITION BY {partition_by} ORDER BY {order_by}) AS {output_column} FROM {input}",,ROW_NUMBER / RANK / DENSE_RANK
window_lag_lead,Transform Advanced,"window_function, column, offset, default_value, partition_by, order_by, output_column","window_function, column, offset, default_value, partition_by, order_by, output_column, input",None,"SELECT *, {window_function}({column}, {offset}, {default_value}) OVER (...) AS {output_column} FROM {input}",,LAG / LEAD window
window_aggregate,Transform Advanced,"agg_function, column, partition_by, order_by, frame_clause, output_column","agg_function, column, partition_by, order_by, frame_clause, output_column, input",None,"SELECT *, {agg_function}({column}) OVER (...) AS {output_column} FROM {input}",,Running aggregation
window_ntile,Transform Advanced,"buckets, partition_by, order_by, output_column","buckets, partition_by, order_by, output_column, input",None,"SELECT *, NTILE({buckets}) OVER (...) AS {output_column} FROM {input}",,Percentile buckets
json_flatten,Transform Advanced,"input_column, json_path, recursive, flatten_mode","input_column, json_path, recursive, flatten_mode, input","Defaults: recursive=FALSE, flatten_mode=BOTH, json_path=empty","SELECT t.*, f.VALUE, f.KEY, f.INDEX, f.PATH FROM {input} t, LATERAL FLATTEN(...) f",,Flatten JSON / arrays
json_extract,Transform Advanced,"input_column, extract_paths[]","extract_expressions, input","extract_paths[] → col:path::type AS output expressions","SELECT *, {extract_expressions} FROM {input}",,Extract JSON fields
